RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Rua José Clemente,01428020,724,4,6,3,8000000
Rua Araripe,03215010,300,6,3,2,430000
Rua Lavras do Sul,02724030,120,4,3,2,650000
Rua Marco Aurélio,05048000,160,3,4,2,940000
Alameda dos Guainumbis,04067000,200,4,6,3,2014000
Avenida Júlio Buono,02201000,217,5,3,2,670000
Rua Monsenhor Moura,05089020,167,2,2,2,820000
Rua dos Tamanás,05444010,440,4,5,4,3950000
Praça Doutor Carvalho Franco,04019060,250,3,5,2,2450000
Rua Maria Ramos,04651040,250,5,6,2,486000
Rua Kansas,04558000,70,2,4,2,800000
Rua Engenheiro Dolabela,02994020,455,4,5,3,680000
Rua Francisco Bellazzi,05265040,80,2,1,1,245000
Rua Gonçalo Pires,05624040,125,3,3,1,610000
Rua Cautaros,08215650,185,3,5,5,460000
Avenida Avelino Paranho,03533010,250,5,3,5,850000
Rua Manoel João Pereira,03530030,131,3,2,2,540000
Rua Getúlio Vargas Filho,04318030,114,3,4,2,550000
Rua Bernardo Vieira,03904010,104,1,1,1,270000
Rua Marechal Bina Machado,04663120,360,4,5,4,1750000
Rua Doutor Augusto de Miranda,05026000,98,3,3,1,1050000
Alameda dos Ciprestes,04716110,351,4,4,4,3480000
Rua José Clemente,01428020,700,4,5,4,7900000
Rua Laplace,04622000,300,3,5,4,2400000
Jardim Trussardi,05519030,125,3,4,3,800000
Rua Aquiramun,05446030,450,5,6,5,5500000
Vila Madalena,05444015,534,5,6,5,4500000
Jardim dos Estados,04642080,340,4,6,3,3000000
Rua Rússia,01448040,200,3,3,2,2700000
Rua Oscar Pinheiro Coelho,05516050,110,2,1,3,620000
Rua Tagipuru,01156000,170,4,3,2,1600000
Rua Américo Brasiliense,04715001,340,4,6,7,2200000
Rua Catão,05049000,235,3,4,3,1280000
Vila Santos,02637000,114,3,1,3,510000
Rua Conchilia,02373010,300,4,6,4,1600000
Rua Antônio Barbosa de Oliveira,02837080,571,3,2,3,987000
Rua João Pereira Santos,05849350,57,3,1,5,350000
Rua Monte Cardoso,03474000,150,3,2,2,600000
Jardim Europa,01449001,693,4,5,6,16000000
Rua Prisciliana Duarte,04291040,257,3,4,4,1600000
Rua Agostinho da Mota,03409030,140,3,4,4,900000
Butantã,05587155,299,4,5,3,2140000
Rua Professor João Marinho,04007010,170,3,4,2,1490000
Rua Pereira Caldas,01546100,200,3,2,2,1000000
Rua Princesa Leopoldina,05081090,100,2,2,1,940000
Jardim Petrópolis,04636000,243,5,4,2,1390000
Vila Mariana,04112015,228,4,5,3,2200000
Avenida Moaci,04083000,420,5,7,6,1900000
Vila Aparecida,08020150,168,3,1,2,621000
Siciliano,02044040,300,3,3,3,1300000
Estrada Velha da Penha,03090020,110,2,1,2,450000
Rua Bernardo Alvarenga,05515060,350,3,4,2,1969000
Rua Doutor Antônio Gontijo de Carvalho,04640190,1200,6,7,8,6360000
Rua Judith,05445060,146,3,2,2,1550000
Rua Catão,05049000,130,2,2,1,688000
Alto da Lapa,05083010,170,4,5,6,1700000
Rua Manuel Francisco Alves,02319060,232,8,3,1,500000
Rua Luís Dib Zogaib,05613020,443,4,6,8,1800000
Rua Pamplona,01405000,156,4,4,2,2340000
Rua Alexandre Von Humboldt,04928250,250,4,4,3,580000
Rua Boiçununga,04255120,200,3,3,2,570000
