RUA,CEP,AREA,QUARTOS,BANHEIROS,VAGAS,PRECO
Alto de Pinheiros,05462050,670,4,5,6,5000000
Avenida Armando Ferrentini,04103030,247,3,5,2,1590000
Jardim América,01441000,301,4,3,4,4200000
Rua Vicente Leporace,04619030,480,7,8,4,2750000
Vila Tramontano,05690020,394,4,4,3,2500000
Praça Conde de Barcelos,05464030,279,5,5,4,4300000
Rua Doutor Aldo de Assis Dias,04689150,125,3,2,2,730000
Vila Cruzeiro,04726170,155,3,4,2,1600000
Sumarezinho,05442050,240,4,5,2,2990000
Santo Amaro,04745000,373,3,2,4,3500000
Rua Conde de Ipanema,04611020,500,3,5,5,1450000
Jardim Leonor,02348170,614,5,6,8,9000000
Rua Camacam,05095000,138,2,2,3,699000
Alto da Lapa,05083010,430,5,7,12,2000000
Rua Bennet,05464010,531,4,3,6,3500000
Rua Alberto Hodge,04740020,271,6,6,2,1650000
Jardim Europa,01449001,501,4,5,14,12000000
Jardim Paulista,01404000,1060,5,6,4,30000000
Jardim das Bandeiras,05439110,420,4,4,6,3800000
Rua Mauricina,05045030,170,2,2,4,1250000
Rua Nova York,04560000,380,5,3,6,2500000
Rua José Aldo Piassi,08011300,200,3,1,5,650000
Alto de Pinheiros,05462050,520,3,8,10,3723000
Vila Madalena,05444015,600,4,6,6,7000000
Butantã,05587155,342,4,7,8,2350000
Vila Progredior,05618000,600,4,7,8,1800000
Santo Amaro,04745000,730,7,7,6,2700000
Alto da Lapa,05083010,278,4,2,6,1720000
Jardim Morumbi,05693000,620,4,4,10,4900000
Rua Barão do Rio Pardo,05662080,296,4,3,4,1500000
Cidade São Mateus,03961060,61,1,1,1,147288
Rua Maria Clara Martins da Silveira,04675170,161,2,4,3,640000
Rua Maestro Elias Lobo,01433000,300,3,6,3,4900000
Avenida Ireré,04064000,430,4,5,3,2780000
Rua Bartira,05009000,200,2,2,1,1400000
Rua Quirino Pucca,05048060,80,1,1,2,480000
Pacaembu,01155000,388,4,4,3,8000000
Pacaembu,01155000,450,4,5,3,4300000
Rua Sampaio Vidal,01443000,380,4,4,4,5100000
Itaberaba,02734000,220,3,3,4,1290000
Granja Julieta,04721060,483,4,4,3,3900000
Cidade Jardim,01453000,350,3,4,4,3800000
Rua Camundo,04071040,155,3,4,3,790000
Rua Wilson Dupont,02019040,170,3,3,1,905000
Rua Tapinas,04531050,156,4,3,2,1820000
Jardim Luzitânia,04030000,385,3,5,4,9800000
Chácara Santo Antônio (Zona Sul),04716090,283,3,5,3,3000000
Rua Arapuã,04307070,138,3,3,2,550000
Rua Bolívia,01437040,420,4,5,6,8900000
Pacaembu,01155000,456,4,5,11,3200000
Vila Salete,03615070,174,3,2,2,640000
Cidade Jardim,01453000,1100,4,4,14,12800000
Rua Simpatia,05436020,476,4,3,4,3640000
Jardim Guedala,05608020,960,4,6,6,4800000
Rua Inácio Pedroso,05612050,678,4,6,6,7300000
Rua Doutor Manoel Maria Tourinho,01236000,495,5,5,4,4000000
Rua Apinajés,05017000,200,3,4,3,2660000
Indianópolis,04086000,280,4,2,2,2450000
Rua Vieira de Almeida,04268040,130,3,2,5,1200000
Rua Irmão Gonçalo,05439080,815,6,5,8,8000000
Alto de Pinheiros,05462050,320,3,3,3,3750000
Alto de Pinheiros,05462050,420,5,4,4,4650000
Vila Cruzeiro,04726170,200,3,3,2,1160000
Rua Afonso José de Carvalho,05451000,180,3,2,4,1600000
Rua Muribeca,05676080,420,4,5,3,3000000
Chora Menino,05175360,256,3,4,4,822000
Vila Campo Grande,04447025,229,2,3,1,420000
Jardim Ana Maria,05757020,491,4,5,8,4600000
Rua Thereza Masironi Gonfiantini,05358030,147,3,3,2,500000
Vila Nova Caledonia,04648007,300,4,4,4,1600000
Rua Maracaibo,05601010,600,3,7,6,4950000
Rua Barão do Bananal,05024000,106,3,2,2,920000
Travessa Doutor Ezequiel Antunes de Oliveira,04544120,170,3,4,3,2690000
Vila Madalena,05444015,330,3,3,2,5800000
Pacaembu,01155000,1171,5,7,10,16000000
Campo Belo,04880250,380,3,4,5,2800000
Rua Abegoaria,05436170,686,4,6,6,5800000
Rua Pedro Osório Filho,02614000,180,3,3,2,650000
Jardim Trussardi,05519030,240,3,4,4,3000000
Alameda dos Guatás,04053040,90,2,4,2,750000
Pacaembu,01155000,520,6,6,5,2500000
Alameda dos Anapurus,04087000,218,3,3,3,1690000
Rua Portugal,01446020,319,3,3,4,5000000
Vila Tramontano,05690020,414,4,5,5,1780000
Pacaembu,01155000,709,4,5,10,9600000
Jardim Paulista,01404000,301,4,3,4,6950000
Rua Antônio de Gouveia Giudice,05460000,331,3,5,3,3500000
Rua Comandante Garcia D'Ávila,05654040,393,6,6,4,1390000
Vila Cordeiro,04583105,1126,4,6,24,6400000
Rua Dom Henrique,04032120,395,4,7,3,6600000
Jardim Guedala,05608020,862,4,9,8,8250000
Rua Luiz Amorim Costa,08040150,160,3,2,3,400000
Campo Belo,04880250,428,5,7,3,2800000
Cidade Jardim,01453000,550,4,1,6,4800000
Avenida Celso dos Santos,04658240,100,2,2,2,480000
Vila Carbone,02752180,92,2,1,2,340000
Alto de Pinheiros,05462050,316,3,3,6,6000000
Brooklin Paulista,04578000,350,4,4,4,2000000
Penha de França,03606010,180,3,1,3,750000
Rua Turquia,01449050,1100,4,6,8,19000000
Jardim América,01441000,1000,5,8,8,30000000
Rua Gama Cerqueira,01539010,281,3,5,3,1490000
Jardim Paulista,01404000,1150,5,7,7,27000000
Rua Almeida Ferraz,04357100,126,4,3,3,695000
Rua Pirapó,05610060,650,3,3,3,5500000
Rua Jupuruchita,03128070,190,3,1,3,1049400
Rua Senador Vergueiro,04739060,350,3,4,6,2950000
Rua Líbero Ripole,04660000,250,3,1,1,950000
Rua Orobó,05466030,295,4,4,4,4000000
Vila Adalgisa,05386040,250,3,5,3,750000
Santo Amaro,04745000,270,3,4,3,2080000
Mirandópolis,04049060,378,4,4,7,2000000
Boaçava,05469020,422,5,8,6,4500000
Rua Engenheiro Pedro Garcin,05376120,110,2,1,2,480000
Rua Mário Guastini,05420010,700,5,7,5,9500000
Rua Domingos Lopes,04606050,145,3,3,2,900000
Rua Ática,04634040,174,3,4,1,599000
Rua Ajurapéia,05443100,210,3,1,2,1050000
Jardim Leonor,02348170,491,4,8,4,3100000
Avenida Iraí,04082000,420,4,7,4,1800000
Rua Nova Orleans,04561030,150,2,3,4,1590000
Rua Maria Teresa Assunção,03609000,160,3,3,2,636000
Rua Vicente Romano,03124050,341,4,3,4,2300000
Rua Manuel Galvão,03190010,106,3,3,2,450000
Jardim América,01441000,815,4,6,4,25500000
Jardim Guedala,05608020,560,4,6,3,6800000
Rua Stefan Marek Neuding,05678030,1643,4,8,10,4495000
Rua Alemanha,01448010,600,4,4,7,13500000
Rua Kalil Filho,04084110,225,3,2,2,1850000
Rua Pau,05471030,296,3,2,5,2750000
Vila Cordeiro,04583105,200,4,6,4,3600000
Jardim Monte Kemel,05635090,158,2,1,1,480000
Avenida Doutor Cardoso de Melo,04548000,200,2,3,2,2900000
Pacaembu,01155000,240,5,7,6,2980000
Rua Raqueta Provensano,03404030,140,2,1,2,1400000
Jardim Bonfiglioli,05593000,115,3,1,1,500000
Jardim Paulista,01404000,300,4,5,4,5500000
Rua Professor Murtinho,04019080,290,4,5,2,2900000
Rua Alexandre Marcondes Machado,05506040,371,3,4,3,2800000
Rua Marquês de Cascais,04557030,146,3,4,3,1500000
Jardim Guedala,05608020,650,3,4,3,6500000
Fazenda Morumbi,05657000,961,4,12,9,6500000
Vila Ida,05455000,440,4,6,6,5750000
Alto de Pinheiros,05462050,722,4,11,10,6200000
Rua Topázio,02812260,300,4,5,4,1900000
Itaim Bibi,04538132,170,2,3,3,3300000
Rua Doutor Augusto de Miranda,05026000,110,3,3,1,970000
Pacaembu,01155000,380,3,1,2,1900000
Jardim Panorama,05677000,374,5,4,6,3200000
Rua Dom Lucas Obes,04212020,140,3,2,2,750000
Rua Dezenove de Maio,03648080,170,3,3,2,680000
Rua Morishigue Akagui,05615140,700,4,8,5,7800000
Rua Miranda Guerra,04640000,255,3,3,5,1400000
Rua General Sena Vasconcelos,05611010,521,4,7,4,3750000
Jardim Europa,01449001,800,4,6,8,23600000
Boaçava,05469020,433,4,4,10,6000000
Jardim Ester,05372140,125,3,1,3,599000
Interlagos,04661000,250,3,3,4,1200000
Rua Capital Federal,01259010,646,5,4,3,2640000
Jardim Guedala,05608020,918,5,3,16,9000000
Jardim América,01441000,480,5,3,3,8200000
Jardim Leonor,02348170,850,4,6,6,5990000
Cidade Jardim,01453000,410,2,2,4,3000000
Jardim Paulista,01404000,935,5,6,4,12000000
Alto de Pinheiros,05462050,559,4,6,4,6100000
Rua Rodrigo Vieira,04115060,235,4,4,2,1700000
Instituto de Previdência,05532040,450,5,5,3,1355010
Rua Catuicara,04518000,220,4,5,3,2700000
Rua Grécia,04911080,265,5,6,4,4800000
Rua General Fonseca Teles,01433020,420,3,7,3,8700000
Rua Dom Tomás Costa e Lima,05692020,600,3,6,8,4900000
Rua Adalívia de Toledo,05683000,500,4,4,5,2500000
Paineiras do Morumbi,05683060,815,4,3,4,3000000
Rua Margarida Galvão,05683030,580,3,4,6,4100000
Rua Conde de Irajá,04119010,369,3,1,3,1950000
Rua Professor João Marinho,04007010,165,3,4,2,1490000
Rua Doutor José Maria Whitaker,05622000,259,3,3,2,1500000
Rua Ulisses Cruz,03077000,117,2,1,1,495000
Rua Acruás,04612090,158,2,1,2,1200000
Avenida Professor Frederico Herman Júnior,05459010,347,5,5,5,3500000
Rua Vicente Biondo,02536140,226,3,1,4,670000
Rua Caetano José Batista,04703020,150,3,1,2,691000
Rua Xavier da Veiga,02021040,300,4,2,4,1596000
Rua Professor Oliveira Fausto,03184050,360,4,1,4,1600000
Rua Japuanga,05455010,400,3,1,5,4043000
Rua Simpatia,05436020,250,2,1,6,2000000
Rua Baturité,01530030,208,3,1,3,1383000
Rua Oscar Caravelas,05441000,324,6,2,4,1800000
Rua Laurindo de Brito,05078100,260,3,2,4,1200000
Rua Timbó,03162150,170,3,1,2,1000000
Rua Frei Juan Auli,04243110,150,2,3,5,455000
Avenida Piassanguaba,04060000,182,3,1,2,980000
Rua Boquim,05454000,235,3,3,5,2500000
Rua Gil Fernandes,04148020,388,3,4,4,1700000
Rua Gregório Paes de Almeida,05450000,400,4,5,6,2490000
Brooklin Paulista,04578000,420,4,4,3,3000000
Rua Lourenço Castanho,04507110,177,3,4,3,2850000
Rua Prestes João,04032010,550,2,5,5,7000000
Rua Martins Bonilha,03183100,175,6,3,2,1300000
Rua Manuel Navarro,05611030,595,5,7,5,5500000
Rua Antônio de Gouveia Giudice,05460000,483,5,1,4,5000000
Rua Honduras,04379095,500,4,6,8,7000000
Cidade Jardim,01453000,450,3,2,4,3000000
Rua Paris,01257040,150,3,3,2,1200000
Jardim Paulista,01404000,220,3,5,2,4950000
Rua Pedro Mainente,05396316,173,3,2,4,750000
Alto de Pinheiros,05462050,340,4,4,4,4500000
Rua Capital Federal,01259010,230,4,2,1,1500000
Boaçava,05469020,327,5,4,4,3000000
Rua Jardim Hollywood,02016004,250,4,4,5,1750000
Rua Abagiba,04294000,180,2,1,2,745000
Boaçava,05469020,488,5,7,6,4250000
Jardim dos Estados,04642080,500,4,5,5,4900000
Rua Benedito Chaves,01445030,433,5,4,8,6500000
Jardim Leonor,02348170,560,4,5,4,4750000
Rua Leopoldo Fróes,03184040,170,3,3,5,950000
Rua Colatino Marques,04504020,548,4,6,6,6200000
Rua General Euclides Figueiredo,05654030,455,4,5,6,1580000
Rua Iraci,01457000,250,3,3,3,2100000
Rua Comendador Bichara Moherdauí,05614080,798,5,7,8,4950000
Alto de Pinheiros,05462050,380,4,5,5,5200000
Rua Macejana,04084080,89,3,1,2,638500
Vila São Silvestre,08011390,168,3,1,4,900000
Retiro Morumbi,05692000,2100,7,14,12,19800000
Rua Escócia,01450000,601,4,5,4,8500000
Morumbi,05606010,713,5,7,8,4000000
Rua Monsanto,05412030,420,4,4,6,2900000
Rua João Bizarro da Nave,03351100,178,3,1,3,450000
Vila Ida,05455000,428,7,6,4,3300000
Jardim América,01441000,170,2,3,2,2300000
Rua Gustavo Teixeira,01236010,350,3,2,4,2700000
Chácara Tatuapé,03060023,150,3,2,2,640000
Boaçava,05469020,540,4,5,6,5000000
Rua Sanharó,05611060,420,3,6,6,3500000
Rua das Fiandeiras,04545000,141,2,2,1,1500000
Alto de Pinheiros,05462050,490,4,6,5,3800000
Vila Ida,05455000,380,4,5,4,3650000
Rua Duartina,01256030,402,4,4,4,3800000
Rua Manoel Jacinto do Rego,05051020,191,3,3,2,1150000
Jardim Leonor,02348170,621,4,4,15,6900000
Vila Ida,05455000,462,5,6,6,5320000
Rua Tefé,01251050,452,3,4,2,2300000
Rua Antônio Splendore,04788230,280,3,5,8,2050000
Jardim Europa,01449001,878,4,6,8,15499000
Rua Argentina,01436010,880,3,5,10,20000000
Rua Vieira de Morais,04617000,116,3,2,1,890000
Rua Costa Aguiar,04204000,219,3,1,1,1172000
Avenida das Corujas,05442050,110,3,1,4,2021300
Planalto Paulista,04072100,250,4,6,4,1915000
Rua Ulisses Esteves Costa,02406050,305,3,3,2,1700000
Rua Humberto I,04018030,300,3,3,5,1800000
Rua Irmão Gonçalo,05439080,810,6,5,8,5700000
Jardim Morumbi,05693000,450,4,7,7,1950000
Lar São Paulo,05639075,586,4,4,5,1680000
Rua Lauro Freire,05527170,120,3,1,2,638500
Vila Nova Conceição,04507000,170,3,5,3,2300000
Jardim Paulista,01404000,231,2,2,2,4570000
Jardim América,01441000,650,5,6,4,6000000
Rua Lessing,03375003,90,3,2,1,452000
Vila Tramontano,05690020,465,4,5,4,3500000
Rua Elias Cutait,05672020,280,3,1,3,3500000
Rua Damiana da Cunha,02450010,382,3,1,5,1908000
Rua Cordisburgo,05614090,550,4,1,6,3310000
Rua Anatólia,05471000,650,3,5,2,8000000
Rua Demóstenes,02472120,253,3,2,4,1950000
Avenida Ireré,04064000,337,3,4,10,2150000
Avenida Itacira,04061000,361,4,6,4,2300000
Rua Nigéria,04538020,197,2,4,3,2565000
Rua Marechal Bitencourt,01432020,900,5,4,12,15000000
Rua dos Pássaros,08141258,117,3,3,3,1277000
Rua Vespasiano,05044050,550,4,2,6,2980000
Santo Amaro,04745000,164,4,3,2,905000
Rua Fernão Dias,05427000,220,6,2,4,1750000
Rua Doutor Octávio de Oliveira Santos,04558070,190,4,3,3,1350000
Rua Jovina,04363080,170,4,4,3,950000
Rua Francisco Correia Dutra,05371070,94,2,2,2,429000
Rua Ytaipu,04052010,200,2,1,2,915000
Cidade Jardim,01453000,1000,4,6,8,10000000
Rua João Lourenço,08120540,470,4,4,4,7500000
Pacaembu,01155000,358,3,5,4,3900000
Jardim Guedala,05608020,933,4,7,9,8600000
Granja Julieta,04721060,487,4,4,4,4400000
Planalto Paulista,04072100,439,4,4,5,3900000
Jardim Paulistano,01451001,250,3,3,3,2100000
Vila Tramontano,05690020,580,4,6,6,2900000
Boaçava,05469020,419,3,5,4,4800000
Rua General Sena Vasconcelos,05611010,500,4,3,5,2500000
Jardim Europa,01449001,400,5,2,4,8790000
Rua Principado de Mônaco,01247040,360,4,5,3,3100000
Rua Caucaia do Alto,02371030,497,3,3,5,920000
Instituto de Previdência,05532040,306,4,4,3,1790000
Rua Cuxiponês,05030020,160,3,2,3,1350000
Rua Alemanha,01448010,551,3,5,3,7700000
Real Parque,05687010,450,5,6,4,3600000
Rua Antônio Mariani,05530000,326,3,5,2,1050000
Rua Grécia,04911080,650,5,5,4,10000000
Instituto de Previdência,05532040,245,3,4,4,990000
Rua José Ferreira da Rocha Filho,05633030,130,3,4,2,775000
Rua Apeu,04288150,293,4,6,3,2500000
Avenida Amarilis,05673030,661,4,7,8,5900000
Rua Inocêncio Nogueira,05676030,727,6,2,7,5800000
Avenida Ceci,04065000,350,4,4,3,2500000
Rua Aperca,05471010,1074,4,4,6,8000000
Rua Pirapó,05610060,550,4,6,8,4200000
Rua dos Otonis,04025000,220,4,2,7,2350000
Brooklin Paulista,04578000,116,3,4,2,850000
Vila Madalena,05444015,337,3,3,4,5800000
Rua Francisco Riva,03907000,132,3,1,2,350000
Rua Marambá,02338050,200,4,4,5,1270000
Rua Ytaipu,04052010,270,4,3,3,1790000
Rua José Vicente de Azevedo,04139030,240,3,4,6,1900000
Rua Jati,04068040,289,3,4,2,1500000
Rua Juréia,04140110,125,2,1,2,851000
Rua Tomé Portes,04623050,480,4,4,3,1900000
Rua Abegoaria,05436170,686,4,8,6,4990000
Jardim Europa,01449001,230,3,4,2,2700000
Rua Tomás Lopes Ferreira,05125090,240,3,3,5,900000
Rua Padre Raposo,03118000,135,2,3,2,692000
Sumarezinho,05442050,251,4,2,4,1700000
Rua Leandro de Carvalho,01551010,200,3,5,1,1030000
Rua Porangaba,04136020,172,2,3,4,930000
Rua Ministro Eduardo de Campos Maia,05594060,170,3,3,3,1100000
Jardim Paulista,01404000,420,3,4,3,9200000
Rua Bento de Faria,04151020,500,5,8,7,2780000
Rua São Samuel,04120030,500,4,3,5,4000000
Avenida Morumbi,05606010,680,3,5,6,2500000
Jardim Guedala,05608020,900,4,6,10,6500000
Alto de Pinheiros,05462050,670,5,7,7,15000000
Rua Tuiucuê,04149130,450,6,7,4,1800000
Rua Antônio Peres Mulla,03434080,85,3,2,1,480000
Rua Montevidéu,05088060,298,3,4,5,2490000
Rua Acarapé,04139090,400,3,3,2,1385000
Rua Rubi,01530080,395,4,2,3,2400000
Rua Asfaltite,03358130,120,2,3,1,580000
Rua Guapiaçu,04024020,250,2,2,1,800000
Rua Doutor João Pinheiro,01429001,450,3,4,2,5700000
Rua Doutor Carlos Norberto de Souza Aranha,05450010,379,4,6,5,4787000
Jardim Guedala,05608020,335,3,3,4,2800000
Rua Enrico de Martino,05652010,750,4,7,8,4500000
Alto de Pinheiros,05462050,413,4,7,4,5300000
Rua José de Cristo Moreira,05688090,525,4,6,4,2950000
Jardim Cordeiro,04640230,850,4,6,6,7500000
Rua Raul de Morais Vítor,02373020,150,5,6,2,498000
Jardim Leonor,02348170,875,4,7,6,5000000
Rua Bacopari,05470030,419,3,4,4,4800000
Alameda Sorimãs,04068010,380,3,5,3,1700000
Jardim Europa,01449001,953,3,7,10,22000000
Vila Ida,05455000,234,3,5,5,2350000
Jardim Vila Mariana,04116000,160,3,4,4,1100000
Rua Ernesto Nazaré,05462000,480,4,5,7,3900000
Jardim Paulista,01404000,180,3,2,1,3000000
Alto de Pinheiros,05462050,520,3,3,4,5300000
Rua Boa Esperança do Sul,05608030,406,4,4,3,2700000
Rua Joaquim Nabuco,03050020,278,4,6,3,2500000
Alto de Pinheiros,05462050,340,5,4,4,2540000
Jardim Guedala,05608020,681,2,3,6,2300000
Rua Aperca,05471010,944,5,8,8,8000000
Rua Araporé,05608000,431,4,5,6,4000000
Jardim das Bandeiras,05439110,450,3,4,3,3850000
Jardim Leonor,02348170,463,4,6,4,3950000
Boaçava,05469020,376,4,5,4,3400000
Alameda dos Indígenas,04059060,300,3,4,4,1500000
Rua Domingos Nogueira,05528250,173,2,3,4,445000
Jardim Leonor,02348170,1000,5,7,4,8000000
Rua Murajuba,05467010,530,4,4,8,5200000
Rua Valdomiro Lobo da Costa,04159100,250,3,5,5,1100000
Jardim Paulista,01404000,425,3,4,5,9800000
Rua das Fiandeiras,04545000,155,2,3,2,2700000
Rua Dom Sebastião do Rego,04129000,206,3,1,1,800000
Rua Tibiriçá,01107060,700,4,6,6,3900000
Jardim Paulistano,01451001,934,5,4,14,14000000
Rua Benedetto Bonfigli,02564040,102,3,2,2,479000
Jardim Europa,01449001,700,3,5,6,18000000
Jardim Europa,01449001,482,4,5,5,9000000
Rua Maniutuba,03411130,123,2,1,1,1100000
Rua Narciso Freitas Vieira,05367000,110,3,1,2,328900
Rua Pedro Doll,02404000,100,2,2,1,590000
Rua Hermógenes Almeida Prado,05610020,607,4,5,5,3150000
Cidade Jardim,01453000,768,6,3,7,5800000
Rua Olegário Mariano,05612000,840,4,8,6,8300000
Rua Coronel Luís Alves,04119030,300,3,3,2,1700000
Jardim Paulista,01404000,380,5,5,8,4990000
Travessa André Gelly,03344005,200,3,4,2,650000
Rua Vicente da Costa,04266050,140,3,3,3,850000
Rua Anésio Pinto Rosa,04570130,286,6,4,4,3000000
Rua Dalton,05086030,237,3,4,2,1950000
Rua Grajaú,01253001,250,3,4,2,2790000
Jardim Panorama D'Oeste,05679005,370,4,4,4,4350000
Jardim Paulista,01404000,673,3,5,5,14700000
Jardim Paulistano,01451001,934,6,6,7,14000000
Rua Noruega,01448020,878,4,6,8,15500000
Vila Nova Conceição,04507000,115,2,2,1,1700000
Rua Justiniano Serpa,05639180,156,3,3,4,960000
Rua Sofia,01447030,500,4,6,4,15000000
Rua Cônego Eugênio Leite,05414010,354,3,4,5,5300000
Jardim Europa,01449001,725,3,5,7,22000000
Rua Mesquita,01544010,250,3,5,7,1800000
Vila Suzana,05642000,240,4,4,6,1000000
Rua Doutor José de Moura Resende,05517000,277,3,3,5,1800000
Rua Valdir Niemeyer,01257080,230,2,5,2,2900000
Rua Joaquim Nabuco,03050020,600,3,5,12,3000000
Alameda Franca,01422000,137,9,2,1,2600000
Santa Cecília,01225010,450,4,3,1,5850000
Avenida Professor Ciro de Barros Resende,04066020,280,4,5,4,3750000
Rua Brumado,02839100,280,2,4,8,650000
Pacaembu,01155000,890,4,7,7,4600000
Boaçava,05469020,435,4,6,6,4500000
Rua Conselheiro Zacarias,01429020,580,4,4,3,9000000
Jardim Europa,01449001,166,4,5,2,5400000
Rua Rosário do Sul,03523030,274,3,4,6,1050000
Boaçava,05469020,350,3,5,7,5500000
Rua Doutor Rafael Caramuru Lanzelloti,04108010,200,2,1,1,850000
Viela Um,08490552,320,3,2,4,1700000
Jardim Guedala,05608020,547,3,4,3,2500000
Perdizes,05036175,280,4,3,2,1750000
Vila Olímpia,04551090,160,3,4,3,2900000
Rua Iraci,01457000,240,5,3,2,2580000
Rua Passo da Pátria,05085000,156,3,3,2,1000000
Rua Raul Devesa,05012040,113,2,2,2,890000
Vila Ida,05455000,456,4,7,4,4500000
Avenida Jandira,04080000,320,4,4,6,2500000
Cidade Jardim,01453000,589,3,4,6,5500000
Parque Residencial Oratorio,03266045,100,3,2,3,480000
Lapa,05069030,670,5,9,10,4600000
Jardim Europa,01449001,600,4,2,8,8000000
Rua Cuba,01436020,301,4,5,4,4200000
Rua Alto do Bonfim,04382070,128,3,2,3,730000
Jardim Guedala,05608020,717,5,4,6,4400000
Pacaembu,01155000,900,4,4,5,5000000
Planalto Paulista,04072100,400,3,5,3,3100000
Rua Pereira Leite,05442000,250,3,2,4,1600000
Jardim América,01441000,300,4,4,4,5500000
Sumaré,04894499,395,4,3,5,6000000
Vila Ema,03156000,160,3,2,1,421000
Rua Francisco Bayardo,05020010,80,3,3,1,1150000
Perdizes,05036175,430,3,4,1,3900000
Boaçava,05469020,530,4,5,6,3800000
Vila Nova Conceição,04507000,390,3,4,5,5500000
Tucuruvi,02305000,90,3,2,1,490000
Rua do Ceuta,04031010,560,4,5,4,9040000
Rua Professor Miguel Calmon,05655060,384,4,5,2,1100000
Jardim Santa Cruz (Campo Grande),04456050,120,3,2,2,590000
Rua Pais de Andrade,01530000,390,3,3,3,1400000
Rua Puréus,05610000,600,4,7,5,2500000
Rua General Sena Vasconcelos,05611010,570,5,5,2,3210000
Rua das Camélias,04872100,330,4,3,6,1900000
Avenida Giovanni Gronchi,05651000,388,3,4,6,1500000
Perdizes,05036175,300,4,3,3,2120000
Rua Porangaba,04136020,160,3,1,3,1200000
Rua General Euclides Figueiredo,05654030,250,4,5,5,1600000
Jardim Paulistano,01451001,989,5,5,5,12000000
Alameda Ministro Rocha Azevedo,01410000,120,2,2,1,1600000
Rua Araporé,05608000,700,4,6,4,12000000
Rua Doutor João Neves Neto,05605000,379,3,5,3,2300000
Rua Nova York,04560000,230,3,5,3,2200000
Jardim Paulista,01404000,723,3,3,4,16500000
Rua Filipe de Gusmão,05441100,120,3,3,1,905000
Rua José do Patrocínio,04108000,150,3,2,2,930000
Rua Stefan Marek Neuding,05678030,622,4,6,6,5000000
Jardim Leonor,02348170,389,3,5,5,1690000
Avenida Sílvio Sciumbata,04789010,793,4,4,5,2680000
Alto de Pinheiros,05462050,350,4,3,4,3500000
Rua Irineu Marinho,04739040,720,5,6,6,4800000
Jardim Paulistano,01451001,400,3,3,3,5500000
Rua Campo Grande,05302050,450,3,4,5,3600000
Retiro Morumbi,05692000,700,4,7,8,5000000
Rua França,03182070,340,4,2,5,5000000
Rua Alberto Faria,05459000,315,4,5,5,5400000
Rua Jamil Safady,05046020,196,4,2,2,1500000
Avenida Padre Pereira de Andrade,05469000,280,3,3,5,2950000
Rua Hermógenes Almeida Prado,05610020,800,4,8,4,3950000
Rua Jaguanambi,05672030,589,4,7,6,4300000
Rua Demóstenes,02472120,286,3,5,4,1950000
Rua Senador João Lira,01247050,300,4,4,3,2500000
Rua República de El Salvador,04910020,388,3,2,4,1900000
Rua Almirante de Inhaúma,05084030,251,3,5,3,1700000
Jardim Leonor,02348170,350,4,6,4,4074000
Avenida Morumbi,05606010,1100,5,6,8,1950000
Rua Abagiba,04294000,170,3,2,3,680000
Rua Carmo do Rio Claro,01541060,110,2,3,1,650000
Jardim Triana,03554050,190,2,3,3,590000
Rua Valença,01254060,213,4,6,3,2600000
Rua Luisiânia,04560020,249,4,4,3,2400000
Rua Grécia,04911080,518,5,4,3,7500000
Rua Faria Lobato,03159070,148,3,3,4,690000
Rua Antônio de Gouveia Giudice,05460000,660,3,6,5,7000000
Rua Itapitangui,01250030,160,3,3,3,4500000
Rua Doutor João Maia,04109130,147,3,4,3,1600000
Jardim Paulista,01404000,484,4,5,4,9500000
Rua Comandante Ismael Guilherme,04031120,775,4,4,6,11000000
Praça Horácio Sabino,05412010,260,4,3,3,2700000
Rua Leônidas Freire,04185170,280,6,5,3,750000
Rua Doutor Manoel Maria Tourinho,01236000,422,4,4,1,2500000
Rua Maria Carolina,01445000,600,3,5,4,9500000
Indianópolis,04086000,197,3,5,3,1570000
Rua Jabebira,05602020,750,5,9,4,8000000
Rua Olegário Mariano,05612000,750,5,7,8,4400000
Rua Gaspar Lourenço,04107000,332,3,2,1,1300000
Rua Urbanizadora,01252040,273,3,5,4,5000000
Vila Santos,02637000,114,3,3,3,500000
Rua Joaquim Cândido de Azevedo Marques,05688020,900,3,6,10,18000000
Rua Pereira Caldas,01546100,250,3,4,3,950000
Cidade Jardim,01453000,450,4,4,3,4000000
Rua Sampaio Vidal,01443000,184,3,3,2,2200000
Rua das Promessas,02214010,113,3,2,3,405000
Rua Petrópolis,05665140,460,3,5,6,4950000
Rua Santa Silveira,03757000,133,2,3,2,460000
Avenida Bosque da Saúde,04142080,250,3,3,1,650000
Vila Progredior,05618000,650,4,6,5,2390000
Alto de Pinheiros,05462050,600,3,5,3,3950000
Cidade Jardim,01453000,600,5,7,4,3800000
Jardim Luzitânia,04030000,258,3,5,5,3500000
Alto de Pinheiros,05462050,400,3,4,3,3450000
Pacaembu,01155000,600,5,4,4,3500000
Rua Cardeal Cagliori,05454030,400,4,5,7,3150000
Rua Embuaçu,04118080,160,3,4,2,1300000
Rua Januário Miraglia,04507020,145,3,2,2,2500000
Rua da Dança Cigana,05833070,100,3,1,1,445000
Rua Tordesilhas,05077020,221,3,4,2,1300000
Pacaembu,01155000,426,4,2,8,2300000
Rua Maracaibo,05601010,433,4,6,4,3600000
Alto de Pinheiros,05462050,332,4,4,4,3750000
Rua Sanharó,05611060,590,5,5,5,2250000
Rua José de Freitas Guimarães,01237010,419,4,3,4,2660000
Fazenda Morumbi,05657000,700,4,4,6,4300000
